timestamp,buy_price,item
2025-09-22 00:00:00-04:00,663.0645751953125,SPY
2025-09-23 00:00:00-04:00,659.4551391601562,SPY
2025-09-24 00:00:00-04:00,657.3569946289062,SPY
2025-09-25 00:00:00-04:00,654.3242797851562,SPY
2025-09-26 00:00:00-04:00,658.072998046875,SPY
2025-09-29 00:00:00-04:00,659.9224243164062,SPY
2025-09-30 00:00:00-04:00,662.4082641601562,SPY
2025-10-01 00:00:00-04:00,664.6654052734375,SPY
2025-10-02 00:00:00-04:00,665.4309692382812,SPY
2025-10-03 00:00:00-04:00,665.421142578125,SPY
2025-10-06 00:00:00-04:00,667.8074951171875,SPY
2025-10-07 00:00:00-04:00,665.3316040039062,SPY
2025-10-08 00:00:00-04:00,669.2990112304688,SPY
2025-10-09 00:00:00-04:00,667.3600463867188,SPY
2025-10-10 00:00:00-04:00,649.32275390625,SPY
2025-10-13 00:00:00-04:00,659.2860107421875,SPY
2025-10-14 00:00:00-04:00,658.4805908203125,SPY
2025-10-15 00:00:00-04:00,661.4039306640625,SPY
2025-10-16 00:00:00-04:00,656.8995971679688,SPY
2025-10-17 00:00:00-04:00,660.62841796875,SPY
2025-10-20 00:00:00-04:00,667.499267578125,SPY
2025-10-21 00:00:00-04:00,667.4893188476562,SPY
2025-10-22 00:00:00-04:00,664.0191040039062,SPY
2025-10-23 00:00:00-04:00,667.9566650390625,SPY
2025-10-24 00:00:00-04:00,673.4155883789062,SPY
2025-10-27 00:00:00-04:00,681.3603515625,SPY
2025-10-28 00:00:00-04:00,683.1700439453125,SPY
2025-10-29 00:00:00-04:00,683.4982299804688,SPY
2025-10-30 00:00:00-04:00,675.9810180664062,SPY
2025-10-31 00:00:00-04:00,678.1983032226562,SPY
2025-11-03 00:00:00-05:00,679.4711303710938,SPY
2025-11-04 00:00:00-05:00,671.4169921875,SPY
2025-11-05 00:00:00-05:00,673.7437133789062,SPY
2025-11-06 00:00:00-05:00,666.514892578125,SPY
2025-11-07 00:00:00-05:00,667.1710815429688,SPY
2025-11-10 00:00:00-05:00,677.5818481445312,SPY
2025-11-11 00:00:00-05:00,679.1329956054688,SPY
2025-11-12 00:00:00-05:00,679.5109252929688,SPY
